Year,County,Count
2005,Clinton,4618.8125
2005,Columbia,5952.612903225807
2005,Cortland,5938.931818181818
2005,Delaware,1447.504347826087
2005,Dutchess,6035.531690140845
2005,Erie,13703.274223034736
2005,Essex,3505.695652173913
2005,Franklin,2242.116666666667
2005,Fulton,4613.363636363636
2005,Genesee,4630.2868217054265
2005,Greene,8960.96
2005,Hamilton,1264.5833333333333
2005,Herkimer,4282.18018018018
2005,Jefferson,5367.350649350649
2005,Kings,19858.51461988304
2005,Lewis,1084.3970588235295
2005,Livingston,3027.4555555555557
2005,Madison,2339.986301369863
2005,Monroe,14469.828478964402
2005,Montgomery,7819.851485148515
2005,Nassau,19611.408759124086
2005,New York,20978.690566037734
2005,Niagara,819.6263705369694
2005,Oneida,7502.379912663755
2005,Onondaga,10897.37688442211
2005,Ontario,6996.559523809524
2005,Orange,15125.646153846154
2005,Orleans,2457.45
2005,Oswego,3980.9875
2005,Otsego,3586.8571428571427
2005,Putnam,12442.212121212122
2005,Queens,28559.81557377049
2005,Rensselaer,6108.112068965517
2005,Richmond,23941.98780487805
2005,Rockland,35963.92682926829
2005,Saint Lawrence,1821.8684210526317
2005,Saratoga,8597.306451612903
2005,Schenectady,12160.354166666666
2005,Schoharie,1635.6949152542372
2005,Schuyler,2452.0
2005,Seneca,7710.363636363636
2005,Steuben,1900.4252336448599
2005,Suffolk,18244.854748603353
2005,Sullivan,2874.298387096774
2005,Tioga,11964.28947368421
2005,Tompkins,7050.25
2005,Ulster,10156.471861471862
2005,Warren,4441.416666666667
2005,Washington,5214.176470588235
2005,Wayne,3040.1311475409834
2005,Westchester,15721.147727272728
2005,Wyoming,1962.1836734693877
2005,Yates,1293.468085106383
2006,Albany,13787.7
2006,Allegany,1632.2233009708739
2006,Bronx,39332.66176470588
2006,Broome,5084.666666666667
2006,Cattaraugus,1893.2105263157894
2006,Cayuga,4796.969696969697
2006,Chautauqua,2914.7914110429447
2006,Chemung,5585.518518518518
2006,Chenango,1467.1037735849056
2006,Clinton,4120.605263157895
2006,Columbia,9136.0
2006,Cortland,4144.734375
2006,Delaware,2098.4418604651164
2006,Dutchess,7029.6551724137935
2006,Erie,9732.606589147286
2006,Essex,2994.423076923077
2006,Franklin,4774.04
2006,Fulton,4292.241379310345
2006,Genesee,6321.0847457627115
2006,Greene,7603.5
2006,Hamilton,1644.4285714285713
2006,Herkimer,6426.25
2006,Jefferson,3596.845588235294
2006,Kings,27968.482352941177
2006,Lewis,4148.5625
2006,Livingston,5495.75
2006,Madison,6576.090909090909
2006,Monroe,10047.247148288974
2006,Montgomery,5747.7692307692305
2006,Nassau,30882.0
2006,New York,44382.90476190476
2006,Niagara,4408.037914691943
2006,Oneida,9534.044943820225
2006,Onondaga,14732.385826771653
2006,Ontario,6246.3442622950815
2006,Orange,8536.973154362417
2006,Orleans,2043.5714285714287
2006,Oswego,2747.312977099237
2006,Otsego,3280.7450980392155
2006,Putnam,14686.64705882353
2006,Queens,37949.03846153846
2006,Rensselaer,15476.99319727891
2006,Richmond,26637.377358490565
2006,Rockland,21652.45945945946
2006,Saint Lawrence,4511.917808219178
2006,Saratoga,7652.158730158731
2006,Schenectady,7756.090909090909
2006,Schoharie,1731.6533333333334
2006,Schuyler,1239.857142857143
2006,Seneca,4081.6190476190477
2006,Steuben,2687.676646706587
2006,Suffolk,15054.563025210084
2006,Sullivan,2345.5405405405404
2006,Tioga,8848.277777777777
2006,Tompkins,7075.3050847457625
2006,Ulster,4950.741758241758
2006,Warren,6181.976744186047
2006,Washington,4603.4
2006,Wayne,2864.8823529411766
2006,Westchester,12697.833333333334
2006,Wyoming,2825.5
2006,Yates,2430.1290322580644
2007,Albany,17676.423076923078
2007,Allegany,2557.7727272727275
2007,Bronx,31100.244444444445
2007,Broome,12677.544554455446
2007,Cattaraugus,3816.230769230769
2007,Cayuga,13237.555555555555
2007,Chautauqua,4110.39010989011
2007,Chemung,3484.5038167938933
2007,Chenango,1926.264705882353
2007,Clinton,3987.2871287128714
2007,Columbia,7105.421052631579
2007,Cortland,7591.105263157895
2007,Delaware,1296.6506024096386
2007,Dutchess,4383.581673306773
2007,Erie,11966.317262830482
2007,Essex,4301.739130434783
2007,Franklin,5793.933333333333
2007,Fulton,3401.7685185185187
2007,Genesee,6672.775510204082
2007,Greene,8696.466666666667
2007,Hamilton,1246.7777777777778
2007,Herkimer,4546.553846153846
2007,Jefferson,2914.1032258064515
2007,Kings,27259.075862068967
2007,Lewis,2130.153846153846
2007,Livingston,3014.265060240964
2007,Madison,5365.424242424242
2007,Monroe,15148.5
2007,Montgomery,3393.049645390071
2007,Nassau,26011.35652173913
2007,New York,43673.546875
2007,Niagara,5569.062146892656
2007,Oneida,8336.153284671533
2007,Onondaga,13640.65034965035
2007,Ontario,10072.40625
2007,Orange,22398.253731343284
2007,Orleans,1707.904761904762
2007,Oswego,7825.5
2007,Otsego,3781.240740740741
2007,Putnam,16950.0
2007,Queens,34514.48538011696
2007,Rensselaer,24869.954545454544
2007,Richmond,38517.448979591834
2007,Rockland,64824.13043478261
2007,Saint Lawrence,2020.157894736842
2007,Saratoga,6087.983516483517
2007,Schenectady,12142.714285714286
2007,Schoharie,1818.72131147541
2007,Schuyler,804.2021276595744
2007,Seneca,5627.454545454545
2007,Steuben,2716.8030303030305
2007,Suffolk,18900.81724137931
2007,Sullivan,4250.539130434782
2007,Tioga,4049.396226415094
2007,Tompkins,4900.204724409449
2007,Ulster,9146.495238095238
2007,Warren,7851.896551724138
2007,Washington,1920.56
2007,Wayne,3063.2
2007,Westchester,27646.766666666666
2007,Wyoming,2214.756097560976
