Year,County,type,Count
1979,Ulster,0,3556.7816091954023
1979,Ulster,1,10.0
1979,Ulster,2,932.9982046678635
1979,Warren,0,3222.3684210526317
1979,Warren,1,13.743589743589743
1979,Warren,2,10.040160642570282
1979,Washington,0,2282.9411764705883
1979,Washington,1,17.548076923076923
1979,Washington,2,32.18905472636816
1979,Wayne,0,1917.03125
1979,Wayne,1,0.0
1979,Wayne,2,0.0
1979,Westchester,0,3134.6008403361343
1979,Westchester,1,436.24413145539904
1979,Westchester,2,11.932457786116323
1979,Wyoming,0,456.56716417910445
1979,Wyoming,1,0.0
1979,Wyoming,2,0.0
1979,Yates,0,1759.7435897435898
1979,Yates,1,6.956521739130435
1979,Yates,2,0.0
1980,Albany,0,4530.0
1980,Albany,1,26.03174603174603
1980,Albany,2,91.16252821670429
1980,Allegany,0,860.6493506493506
1980,Allegany,1,2.22972972972973
1980,Allegany,2,0.0
1980,Bronx,0,10600.128205128205
1980,Bronx,2,1352.3129921259842
1980,Broome,0,3106.328502415459
1980,Broome,1,104.77272727272727
1980,Broome,2,99.65174129353234
1980,Cattaraugus,0,1527.2072072072071
1980,Cattaraugus,1,5.414847161572053
1980,Cattaraugus,2,4.23162583518931
1980,Cayuga,0,953.9516129032259
1980,Cayuga,1,0.0
1980,Cayuga,2,36.11721611721612
1980,Chautauqua,0,2526.603773584906
1980,Chautauqua,1,67.93165467625899
1980,Chautauqua,2,12.71165644171779
1980,Chemung,0,968.2894736842105
1980,Chemung,1,654.5175438596491
1980,Chemung,2,44.93630573248408
1980,Chenango,0,864.3478260869565
1980,Chenango,1,13.071895424836601
1980,Chenango,2,0.0
1980,Clinton,0,1273.4146341463415
1980,Clinton,1,110.97744360902256
1980,Clinton,2,75.33653846153847
1980,Columbia,0,406.0674157303371
1980,Columbia,1,0.0
1980,Columbia,2,6.604477611940299
1980,Cortland,0,1078.0
1980,Cortland,1,0.0
1980,Cortland,2,7.5661375661375665
1980,Delaware,0,971.7283950617284
1980,Delaware,1,0.0
1980,Delaware,2,0.0
1980,Dutchess,0,24.869109947643977
1980,Dutchess,1,269.7667638483965
1980,Dutchess,2,67.21932114882506
1980,Erie,0,7618.192182410424
1980,Erie,1,43.204488778054866
1980,Erie,2,6.925675675675675
1980,Essex,0,994.0845070422536
1980,Essex,1,0.0
1980,Essex,2,0.0
1980,Franklin,0,806.25
1980,Franklin,1,0.0
1980,Franklin,2,0.0
1980,Fulton,0,670.1818181818181
1980,Fulton,1,0.0
1980,Fulton,2,0.0
1980,Genesee,0,2154.38202247191
1980,Genesee,1,25.689655172413794
1980,Genesee,2,53.85321100917431
1980,Greene,0,1721.4925373134329
1980,Greene,1,0.0
1980,Greene,2,0.0
1980,Hamilton,0,853.5
1980,Hamilton,1,0.0
1980,Hamilton,2,0.0
1980,Herkimer,0,2038.7068965517242
1980,Herkimer,1,0.0
1980,Herkimer,2,2.9365079365079363
1980,Jefferson,0,1278.6425339366515
1980,Jefferson,1,12.216867469879517
1980,Jefferson,2,0.0
1980,Kings,0,6666.190476190476
1980,Kings,2,65.57059961315281
1980,Lewis,0,404.48979591836735
1980,Lewis,1,0.0
1980,Lewis,2,0.0
1980,Livingston,0,525.8490566037735
1980,Livingston,1,0.0
1980,Livingston,2,10.14423076923077
1980,Madison,0,2063.3333333333335
1980,Madison,1,7.418181818181818
1980,Madison,2,2.1476510067114094
1980,Monroe,0,3430.902111324376
1980,Monroe,1,176.1807580174927
1980,Monroe,2,48.33086053412463
1980,Montgomery,0,2302.0710059171597
1980,Montgomery,1,0.0
1980,Montgomery,2,771.4068441064638
1980,Nassau,0,4927.165991902834
1980,Nassau,1,271.26126126126127
1980,Nassau,2,0.9812524930195453
1980,New York,0,13538.25
1980,New York,2,94.38528557599226
1980,Niagara,0,539.5256916996047
1980,Niagara,1,0.0
1980,Niagara,2,4.652725914861837
1980,Oneida,0,2225.449438202247
1980,Oneida,1,101.59183673469387
1980,Oneida,2,331.23056994818654
1980,Onondaga,0,1478.2323232323233
1980,Onondaga,1,144.3467336683417
1980,Onondaga,2,84.2358803986711
1980,Ontario,0,1928.5454545454545
1980,Ontario,1,40.8235294117647
1980,Ontario,2,7.035398230088496
1980,Orange,0,2258.1923076923076
1980,Orange,1,4.125874125874126
1980,Orange,2,96.5137614678899
1980,Orleans,0,885.3846153846154
1980,Orleans,1,0.0
1980,Orleans,2,0.0
1980,Oswego,0,745.4545454545455
1980,Oswego,1,66.14035087719299
1980,Oswego,2,0.0
1980,Otsego,0,642.1259842519685
1980,Otsego,1,0.0
1980,Otsego,2,0.0
1980,Putnam,0,2915.15625
1980,Putnam,1,68.38235294117646
1980,Putnam,2,0.0
1980,Queens,0,4674.736842105263
1980,Queens,2,23.44607843137255
1980,Rensselaer,0,10214.143835616438
1980,Rensselaer,1,123.43023255813954
1980,Rensselaer,2,13.692946058091286
1980,Richmond,0,0.0
1980,Richmond,2,0.0
1980,Rockland,0,2657.557251908397
1980,Rockland,1,120.43956043956044
1980,Rockland,2,11.465968586387435
1980,Saint Lawrence,0,1491.111111111111
1980,Saint Lawrence,1,3.1768953068592056
1980,Saint Lawrence,2,0.0
1980,Saratoga,0,2150.355029585799
1980,Saratoga,1,41.023622047244096
1980,Saratoga,2,38.02197802197802
1980,Schenectady,0,4294.054054054054
1980,Schenectady,1,308.81188118811883
1980,Schenectady,2,0.842391304347826
1980,Schoharie,0,547.2972972972973
1980,Schoharie,1,0.0
1980,Schoharie,2,0.0
1980,Schuyler,0,1123.7333333333333
1980,Schuyler,1,0.0
1980,Schuyler,2,0.0
1980,Seneca,0,1386.8085106382978
1980,Seneca,1,0.0
1980,Seneca,2,0.0
1980,Steuben,0,2124.6938775510203
1980,Steuben,1,1.0784313725490196
1980,Steuben,2,60.27896995708154
1980,Suffolk,0,2857.57793764988
1980,Suffolk,1,235.5897435897436
1980,Suffolk,2,24.51259946949602
1980,Sullivan,0,2488.73786407767
1980,Sullivan,1,0.0
1980,Sullivan,2,0.0
1980,Tioga,0,832.6829268292682
1980,Tioga,1,0.0
1980,Tioga,2,1.8041237113402062
1980,Tompkins,0,4336.336633663366
1980,Tompkins,1,13.460076045627376
1980,Tompkins,2,16.306818181818183
1980,Ulster,0,2165.785440613027
1980,Ulster,1,10.165745856353592
1980,Ulster,2,337.8096947935368
1980,Warren,0,2482.8947368421054
1980,Warren,1,14.0
1980,Warren,2,10.240963855421686
1980,Washington,0,595.0
1980,Washington,1,17.884615384615383
1980,Washington,2,32.78606965174129
1980,Wayne,0,2150.9375
1980,Wayne,1,0.0
1980,Wayne,2,0.0
1980,Westchester,0,6041.09243697479
1980,Westchester,1,441.1737089201878
1980,Westchester,2,78.39399624765478
1980,Wyoming,0,1292.8358208955224
1980,Wyoming,1,0.0
1980,Wyoming,2,0.0
1980,Yates,0,1419.2307692307693
1980,Yates,1,6.956521739130435
1980,Yates,2,0.0
1981,Albany,0,7078.062283737024
1981,Albany,1,2154.285714285714
1981,Albany,2,75.06772009029345
1981,Allegany,0,1047.6623376623377
1981,Allegany,1,2.2972972972972974
1981,Allegany,2,0.0
1981,Bronx,0,10297.435897435897
1981,Bronx,2,1377.8346456692914
1981,Broome,0,5238.260869565217
1981,Broome,1,104.77272727272727
1981,Broome,2,99.65174129353234
1981,Cattaraugus,0,2647.747747747748
1981,Cattaraugus,1,5.414847161572053
1981,Cattaraugus,2,4.23162583518931
1981,Cayuga,0,2119.516129032258
1981,Cayuga,1,0.0
1981,Cayuga,2,440.5128205128205
1981,Chautauqua,0,685.3459119496855
1981,Chautauqua,1,67.93165467625899
1981,Chautauqua,2,12.71165644171779
1981,Chemung,0,2788.4210526315787
1981,Chemung,1,654.561403508772
1981,Chemung,2,44.93630573248408
1981,Chenango,0,970.7608695652174
1981,Chenango,1,13.529411764705882
1981,Chenango,2,0.0
1981,Clinton,0,1397.560975609756
1981,Clinton,1,77.29323308270676
1981,Clinton,2,75.33653846153847
1981,Columbia,0,1493.370786516854
1981,Columbia,1,0.0
1981,Columbia,2,6.7164179104477615
1981,Cortland,0,1837.2631578947369
1981,Cortland,1,0.0
1981,Cortland,2,7.5661375661375665
1981,Delaware,0,990.1234567901234
1981,Delaware,1,0.0
1981,Delaware,2,0.0
1981,Dutchess,0,4650.418848167539
1981,Dutchess,1,274.6938775510204
1981,Dutchess,2,68.44647519582246
1981,Erie,0,5516.107491856677
1981,Erie,1,43.204488778054866
1981,Erie,2,10.388513513513514
1981,Essex,0,870.7042253521126
1981,Essex,1,0.0
1981,Essex,2,0.0
1981,Franklin,0,1080.9722222222222
1981,Franklin,1,0.0
1981,Franklin,2,0.0
1981,Fulton,0,1154.3636363636363
1981,Fulton,1,0.0
1981,Fulton,2,0.0
1981,Genesee,0,1775.2808988764045
1981,Genesee,1,25.689655172413794
1981,Genesee,2,53.85321100917431
1981,Greene,0,2049.402985074627
1981,Greene,1,0.0
1981,Greene,2,0.0
1981,Hamilton,0,112.5
1981,Hamilton,1,0.0
1981,Hamilton,2,0.0
1981,Herkimer,0,1247.3275862068965
1981,Herkimer,1,0.0
1981,Herkimer,2,2.9365079365079363
1981,Jefferson,0,2467.601809954751
1981,Jefferson,1,2.36144578313253
1981,Jefferson,2,475.822102425876
1981,Kings,0,10704.047619047618
1981,Kings,2,67.68536428110896
1981,Lewis,0,176.12244897959184
1981,Lewis,1,0.0
1981,Lewis,2,0.0
1981,Livingston,0,2043.5849056603774
1981,Livingston,1,0.0
1981,Livingston,2,10.14423076923077
1981,Madison,0,1337.4444444444443
1981,Madison,1,7.672727272727273
1981,Madison,2,2.1476510067114094
1981,Monroe,0,4053.4932821497123
1981,Monroe,1,202.0408163265306
1981,Monroe,2,48.33086053412463
1981,Montgomery,0,1116.8639053254437
1981,Montgomery,1,0.0
